token,count
should,7140
with,6798
this,4731
proposals,4727
food,4514
that,4084
from,3585
will,3488
research,3472
european,3397
expected,3245
including,3104
other,2933
activities,2919
based,2916
climate,2826
support,2811
innovation,2795
sustainable,2661
their,2636
relevant,2530
projects,2527
development,2454
systems,2452
project,2437
data,2365
health,2204
solutions,2202
water,2138
specific,2110
also,2110
economic,2077
such,2043
well,1977
production,1949
impact,1946
products,1943
knowledge,1920
under,1883
social,1877
energy,1796
environmental,1781
contribute,1764
topic,1737
scope,1703
value,1678
management,1630
technologies,1588
more,1576
policy,1548
