feature,coefficient,abs_coefficient
tfidf_infrastructure,-2.0205085739354827,2.0205085739354827
tfidf_mission,1.8626646772944508,1.8626646772944508
tfidf_2025,1.8374818983797454,1.8374818983797454
tfidf_network,-1.779297333571403,1.779297333571403
tfidf_engineering,-1.7518894379346657,1.7518894379346657
tfidf_pilot,-1.4570594987013086,1.4570594987013086
tfidf_functional,1.400643542518528,1.400643542518528
tfidf_improving,-1.3765687298470115,1.3765687298470115
tfidf_advance,-1.3654489629883275,1.3654489629883275
tfidf_for food,1.3559519741590464,1.3559519741590464
tfidf_mental,-1.3189581741729708,1.3189581741729708
tfidf_knowledge,1.3131449470737813,1.3131449470737813
tfidf_support for,1.309516880879857,1.309516880879857
tfidf_competition,1.2706133393779921,1.2706133393779921
tfidf_adoption,1.256702425101506,1.256702425101506
tfidf_engine,-1.2439365424646707,1.2439365424646707
tfidf_coal,-1.2435418707204442,1.2435418707204442
tfidf_transition,-1.237923091239785,1.237923091239785
tfidf_opportunities,-1.2303063489555528,1.2303063489555528
tfidf_in situ,1.2265955430001199,1.2265955430001199
tfidf_study,1.212284525495734,1.212284525495734
tfidf_language,-1.210980823517494,1.210980823517494
tfidf_cover,1.2053220470372112,1.2053220470372112
tfidf_situ,1.1995915559373203,1.1995915559373203
tfidf_vessel,1.1992924024885612,1.1992924024885612
tfidf_governance,1.1926618361047345,1.1926618361047345
tfidf_facilitating,1.1830327531774818,1.1830327531774818
tfidf_women,-1.1742035651384861,1.1742035651384861
tfidf_bioeconomy,-1.1667605955898215,1.1667605955898215
tfidf_economy,-1.1627631150447544,1.1627631150447544
tfidf_research infrastructures,1.1452894709974375,1.1452894709974375
tfidf_renewable,-1.1363900498178867,1.1363900498178867
tfidf_expert,1.135386328659887,1.135386328659887
tfidf_relevant,-1.1299170841000696,1.1299170841000696
tfidf_limited,1.1236143266079477,1.1236143266079477
tfidf_facilities,1.1222531370805706,1.1222531370805706
tfidf_pollution,1.1188993514161003,1.1188993514161003
tfidf_is,1.1177212645677401,1.1177212645677401
tfidf_product,1.1110802296753142,1.1110802296753142
tfidf_us,1.109249813375679,1.109249813375679
tfidf_kic,1.1053911988039269,1.1053911988039269
tfidf_agri food,-1.1042992765017408,1.1042992765017408
tfidf_defence,-1.100740274460262,1.100740274460262
tfidf_storage,1.099423543180381,1.099423543180381
tfidf_system,-1.0990608193108256,1.0990608193108256
tfidf_people,-1.0981484285124625,1.0981484285124625
tfidf_biomass,-1.0980351306178435,1.0980351306178435
tfidf_virtual,-1.0882042854405785,1.0882042854405785
tfidf_communities,-1.0866642419119095,1.0866642419119095
tfidf_culture,1.0843425698062275,1.0843425698062275
