feature,mean_abs_shap
is_agriculture_by_text,5.393351
is_agriculture_by_sector,2.883178
kw_food,0.11763438
sector_standard_water_irrigation,0.091362245
kw_agriculture,0.06176512
tfidf_in,0.052876003
tfidf_of,0.047365803
tfidf_be,0.03246207
sector_standard_other,0.032447763
tfidf_should,0.02864963
tfidf_eu,0.027037093
days_to_close,0.023134086
tfidf_food,0.022533301
sector_standard_climate_environment,0.022167373
sector_standard_agriculture,0.02078183
tfidf_rural,0.018263694
tfidf_economic,0.016703574
kw_climate,0.014505292
tfidf_into,0.012547835
kw_crop,0.012010842
subtheme_other,0.011616106
publish_year,0.01130023
tfidf_will,0.011138819
sector_standard_research_innovation,0.007264177
tfidf_this,0.0067267744
tfidf_water,0.006654329
tfidf_environmental,0.0051265745
tfidf_areas,0.0047895415
tfidf_research,0.0036798308
sector_standard_food_security,0.002952527
subtheme_crop_production,0.0025195482
tfidf_regions,0.0025028514
tfidf_the,0.0021947226
tfidf_scope,0.0020119927
tfidf_marine,0.001007892
tfidf_at,0.0010018834
tfidf_blue,0.0009084284
tfidf_lower,0.00086194143
tfidf_inland,0.0008428075
tfidf_base,0.00077869964
tfidf_expected impact,0.00073021796
tfidf_agricultural,0.0006291237
tfidf_expected,0.0004941954
tfidf_ocean,0.00047060093
tfidf_solid,0.0004159972
tfidf_energy,0.00039901366
tfidf_encouraged the,0.00038738782
tfidf_impact,0.00037761073
tfidf_design,0.0002451432
tfidf_to the,0.00023347717
tfidf_and human,0.0002029138
tfidf_communities,0.00014448908
tfidf_action will,9.444882e-05
tfidf_following areas,9.210905e-05
tfidf_financing,7.795652e-05
tfidf_facility,6.52657e-05
tfidf_world,0.0
tfidf_worldwide,0.0
tfidf_would,0.0
tfidf_would allow,0.0
tfidf_would be,0.0
region_Europe,0.0
region_North America,0.0
sector_standard_rural_development,0.0
subtheme_climate_smart_agriculture,0.0
subtheme_food_security,0.0
subtheme_irrigation,0.0
subtheme_livestock,0.0
subtheme_rural_livelihoods,0.0
tfidf_000,0.0
tfidf_01,0.0
tfidf_02,0.0
tfidf_03,0.0
tfidf_05,0.0
tfidf_10,0.0
tfidf_100,0.0
tfidf_11,0.0
tfidf_12,0.0
tfidf_13,0.0
tfidf_14,0.0
tfidf_15,0.0
tfidf_16,0.0
tfidf_17,0.0
tfidf_18,0.0
tfidf_19,0.0
tfidf_20,0.0
tfidf_2008,0.0
tfidf_2011,0.0
tfidf_2012,0.0
tfidf_2013,0.0
tfidf_2014,0.0
tfidf_2014 2015,0.0
tfidf_2015,0.0
tfidf_2016,0.0
tfidf_2016 2017,0.0
tfidf_2017,0.0
tfidf_2018,0.0
tfidf_2018 2019,0.0
tfidf_2018 2020,0.0
tfidf_2019,0.0
tfidf_2019 2020,0.0
tfidf_2020,0.0
tfidf_2020 and,0.0
tfidf_2021,0.0
tfidf_2022,0.0
tfidf_2023,0.0
tfidf_2024,0.0
tfidf_2025,0.0
tfidf_2026,0.0
tfidf_2027,0.0
tfidf_2030,0.0
tfidf_2050,0.0
tfidf_24,0.0
tfidf_25,0.0
tfidf_30,0.0
tfidf_40,0.0
tfidf_50,0.0
tfidf_5g,0.0
tfidf_70,0.0
tfidf_ability,0.0
tfidf_ability to,0.0
tfidf_able,0.0
tfidf_able to,0.0
tfidf_about,0.0
tfidf_about the,0.0
tfidf_above,0.0
tfidf_academia,0.0
tfidf_academic,0.0
tfidf_accelerate,0.0
tfidf_accelerate the,0.0
tfidf_accelerating,0.0
tfidf_acceptance,0.0
tfidf_acceptance of,0.0
tfidf_access,0.0
tfidf_access and,0.0
tfidf_access to,0.0
tfidf_accessibility,0.0
tfidf_accessible,0.0
tfidf_accordance,0.0
tfidf_accordance with,0.0
tfidf_according,0.0
tfidf_according to,0.0
tfidf_account,0.0
tfidf_account the,0.0
tfidf_accuracy,0.0
tfidf_accurate,0.0
tfidf_achieve,0.0
tfidf_achieve the,0.0
tfidf_achieve trl,0.0
tfidf_achieved,0.0
tfidf_achievement,0.0
tfidf_achievement of,0.0
tfidf_achievements,0.0
tfidf_achieving,0.0
tfidf_achieving the,0.0
tfidf_acquisition,0.0
tfidf_across,0.0
tfidf_across different,0.0
tfidf_across europe,0.0
tfidf_across the,0.0
tfidf_act,0.0
tfidf_action,0.0
tfidf_action is,0.0
tfidf_action plan,0.0
tfidf_action research,0.0
tfidf_action should,0.0
tfidf_action the,0.0
tfidf_action to,0.0
tfidf_actions,0.0
tfidf_actions and,0.0
tfidf_actions for,0.0
tfidf_actions in,0.0
tfidf_actions should,0.0
tfidf_actions to,0.0
tfidf_actions will,0.0
tfidf_active,0.0
tfidf_active in,0.0
tfidf_actively,0.0
tfidf_activities,0.0
tfidf_activities and,0.0
tfidf_activities are,0.0
tfidf_activities for,0.0
tfidf_activities in,0.0
tfidf_activities of,0.0
tfidf_activities on,0.0
tfidf_activities should,0.0
tfidf_activities such,0.0
tfidf_activities that,0.0
tfidf_activities the,0.0
tfidf_activities to,0.0
tfidf_activities will,0.0
tfidf_activities with,0.0
tfidf_activity,0.0
tfidf_actor,0.0
tfidf_actor approach,0.0
tfidf_actors,0.0
tfidf_actors and,0.0
tfidf_actors in,0.0
tfidf_actual,0.0
tfidf_adapt,0.0
tfidf_adaptation,0.0
tfidf_adaptation and,0.0
tfidf_adaptation to,0.0
tfidf_adapted,0.0
tfidf_adapted to,0.0
tfidf_adaptive,0.0
tfidf_added,0.0
tfidf_added value,0.0
tfidf_addition,0.0
tfidf_addition the,0.0
tfidf_addition to,0.0
tfidf_additional,0.0
tfidf_address,0.0
tfidf_address all,0.0
tfidf_address one,0.0
tfidf_address the,0.0
tfidf_addressed,0.0
tfidf_addressed appropriately,0.0
tfidf_addresses,0.0
tfidf_addressing,0.0
tfidf_addressing the,0.0
tfidf_adequate,0.0
tfidf_administrations,0.0
tfidf_administrative,0.0
tfidf_adopted,0.0
tfidf_adoption,0.0
tfidf_adoption of,0.0
tfidf_advance,0.0
tfidf_advanced,0.0
tfidf_advances,0.0
tfidf_advantage,0.0
tfidf_advice,0.0
tfidf_advisors,0.0
tfidf_advisory,0.0
tfidf_affect,0.0
tfidf_affected,0.0
tfidf_affordable,0.0
tfidf_africa,0.0
tfidf_african,0.0
tfidf_after,0.0
tfidf_after the,0.0
tfidf_ag,0.0
tfidf_against,0.0
tfidf_age,0.0
tfidf_ageing,0.0
tfidf_agencies,0.0
tfidf_agency,0.0
tfidf_agenda,0.0
tfidf_agreed,0.0
tfidf_agreement,0.0
tfidf_agreements,0.0
tfidf_agri,0.0
tfidf_agri food,0.0
tfidf_agriculture,0.0
tfidf_agriculture and,0.0
tfidf_agro,0.0
tfidf_ai,0.0
tfidf_aim,0.0
tfidf_aim at,0.0
tfidf_aim is,0.0
tfidf_aim of,0.0
tfidf_aim to,0.0
tfidf_aimed,0.0
tfidf_aimed at,0.0
tfidf_aiming,0.0
tfidf_aiming at,0.0
tfidf_aiming to,0.0
tfidf_aims,0.0
tfidf_aims at,0.0
tfidf_aims to,0.0
tfidf_air,0.0
tfidf_airborne,0.0
tfidf_aircraft,0.0
tfidf_airport,0.0
tfidf_airports,0.0
tfidf_airspace,0.0
tfidf_akis,0.0
tfidf_algorithms,0.0
tfidf_aligned,0.0
tfidf_alignment,0.0
tfidf_all,0.0
tfidf_all of,0.0
tfidf_all relevant,0.0
tfidf_all the,0.0
tfidf_alliance,0.0
tfidf_alliances,0.0
tfidf_allow,0.0
tfidf_allow for,0.0
tfidf_allow the,0.0
tfidf_allow this,0.0
tfidf_allowed,0.0
tfidf_allowing,0.0
tfidf_allows,0.0
tfidf_along,0.0
tfidf_along the,0.0
tfidf_already,0.0
tfidf_also,0.0
tfidf_also be,0.0
tfidf_also contribute,0.0
tfidf_also in,0.0
tfidf_also include,0.0
tfidf_alternative,0.0
tfidf_alternatives,0.0
tfidf_although,0.0
tfidf_ambition,0.0
tfidf_ambitious,0.0
tfidf_among,0.0
tfidf_among others,0.0
tfidf_among the,0.0
tfidf_amongst,0.0
tfidf_amount,0.0
tfidf_amount of,0.0
tfidf_amounts,0.0
tfidf_amounts expected,0.0
tfidf_an,0.0
tfidf_an eu,0.0
tfidf_an important,0.0
tfidf_an integrated,0.0
tfidf_an open,0.0
tfidf_analyse,0.0
tfidf_analysis,0.0
tfidf_analysis and,0.0
tfidf_analysis of,0.0
tfidf_analytical,0.0
tfidf_analytics,0.0
tfidf_and,0.0
tfidf_and achieve,0.0
tfidf_and activities,0.0
tfidf_and adaptation,0.0
tfidf_and address,0.0
tfidf_and air,0.0
tfidf_and analysis,0.0
tfidf_and applications,0.0
tfidf_and are,0.0
tfidf_and assess,0.0
tfidf_and associated,0.0
tfidf_and at,0.0
tfidf_and awareness,0.0
tfidf_and be,0.0
tfidf_and benefits,0.0
tfidf_and best,0.0
tfidf_and better,0.0
tfidf_and beyond,0.0
tfidf_and biodiversity,0.0
tfidf_and build,0.0
tfidf_and business,0.0
tfidf_and by,0.0
tfidf_and capacity,0.0
tfidf_and care,0.0
tfidf_and citizens,0.0
tfidf_and civil,0.0
tfidf_and climate,0.0
tfidf_and co,0.0
tfidf_and communication,0.0
tfidf_and communities,0.0
tfidf_and consumption,0.0
tfidf_and contribute,0.0
tfidf_and control,0.0
tfidf_and cooperation,0.0
tfidf_and coordination,0.0
tfidf_and cost,0.0
tfidf_and cross,0.0
tfidf_and cultural,0.0
tfidf_and data,0.0
tfidf_and decision,0.0
tfidf_and demonstrate,0.0
tfidf_and demonstration,0.0
tfidf_and deployment,0.0
tfidf_and develop,0.0
tfidf_and developing,0.0
tfidf_and development,0.0
tfidf_and digital,0.0
tfidf_and dissemination,0.0
tfidf_and distribution,0.0
tfidf_and economic,0.0
tfidf_and effective,0.0
tfidf_and efficient,0.0
tfidf_and emerging,0.0
tfidf_and end,0.0
tfidf_and energy,0.0
tfidf_and ensure,0.0
tfidf_and environmental,0.0
tfidf_and eu,0.0
tfidf_and european,0.0
tfidf_and evaluation,0.0
tfidf_and exchange,0.0
tfidf_and exploitation,0.0
tfidf_and facilitate,0.0
tfidf_and financial,0.0
tfidf_and food,0.0
tfidf_and for,0.0
tfidf_and further,0.0
tfidf_and future,0.0
tfidf_and gender,0.0
tfidf_and global,0.0
tfidf_and growth,0.0
tfidf_and health,0.0
tfidf_and high,0.0
tfidf_and horizon,0.0
tfidf_and how,0.0
tfidf_and humanities,0.0
tfidf_and if,0.0
tfidf_and impact,0.0
tfidf_and implement,0.0
tfidf_and implementation,0.0
tfidf_and improve,0.0
tfidf_and improved,0.0
tfidf_and in,0.0
tfidf_and increase,0.0
tfidf_and industrial,0.0
tfidf_and industry,0.0
tfidf_and information,0.0
tfidf_and initiatives,0.0
tfidf_and innovation,0.0
tfidf_and innovative,0.0
tfidf_and integrated,0.0
tfidf_and integration,0.0
tfidf_and international,0.0
tfidf_and interoperability,0.0
tfidf_and its,0.0
tfidf_and jobs,0.0
tfidf_and joint,0.0
tfidf_and knowledge,0.0
tfidf_and local,0.0
tfidf_and long,0.0
tfidf_and low,0.0
tfidf_and maintenance,0.0
tfidf_and management,0.0
tfidf_and market,0.0
tfidf_and materials,0.0
tfidf_and medium,0.0
tfidf_and methods,0.0
tfidf_and million,0.0
tfidf_and monitoring,0.0
tfidf_and more,0.0
tfidf_and national,0.0
tfidf_and new,0.0
tfidf_and non,0.0
tfidf_and of,0.0
tfidf_and on,0.0
tfidf_and open,0.0
tfidf_and operational,0.0
tfidf_and or,0.0
tfidf_and other,0.0
tfidf_and performance,0.0
tfidf_and policy,0.0
tfidf_and potential,0.0
tfidf_and practices,0.0
tfidf_and private,0.0
tfidf_and processes,0.0
tfidf_and processing,0.0
tfidf_and products,0.0
tfidf_and promote,0.0
tfidf_and promotion,0.0
tfidf_and provide,0.0
tfidf_and public,0.0
tfidf_and quality,0.0
tfidf_and re,0.0
tfidf_and reduce,0.0
tfidf_and regional,0.0
tfidf_and regulatory,0.0
tfidf_and related,0.0
tfidf_and relevant,0.0
tfidf_and research,0.0
tfidf_and resilience,0.0
tfidf_and resilient,0.0
tfidf_and resource,0.0
tfidf_and resources,0.0
tfidf_and rural,0.0
tfidf_and safety,0.0
tfidf_and security,0.0
tfidf_and selection,0.0
tfidf_and services,0.0
tfidf_and sharing,0.0
tfidf_and should,0.0
tfidf_and skills,0.0
tfidf_and smes,0.0
tfidf_and social,0.0
tfidf_and societal,0.0
tfidf_and society,0.0
tfidf_and socio,0.0
tfidf_and solutions,0.0
tfidf_and stakeholders,0.0
tfidf_and supply,0.0
tfidf_and support,0.0
tfidf_and supporting,0.0
tfidf_and sustainability,0.0
tfidf_and sustainable,0.0
tfidf_and systems,0.0
tfidf_and technical,0.0
tfidf_and technological,0.0
tfidf_and technologies,0.0
tfidf_and technology,0.0
tfidf_and test,0.0
tfidf_and testing,0.0
tfidf_and that,0.0
tfidf_and the,0.0
tfidf_and their,0.0
tfidf_and thus,0.0
tfidf_and to,0.0
tfidf_and tools,0.0
tfidf_and training,0.0
tfidf_and use,0.0
tfidf_and validation,0.0
tfidf_and waste,0.0
tfidf_and water,0.0
tfidf_and well,0.0
tfidf_and where,0.0
tfidf_and will,0.0
tfidf_and with,0.0
tfidf_animal,0.0
tfidf_animal welfare,0.0
tfidf_annex,0.0
tfidf_annex of,0.0
tfidf_annexes,0.0
tfidf_annual,0.0
tfidf_annual work,0.0
tfidf_another,0.0
tfidf_anti,0.0
tfidf_any,0.0
tfidf_any other,0.0
tfidf_applicable,0.0
tfidf_applicant,0.0
tfidf_applicants,0.0
tfidf_applicants are,0.0
tfidf_applicants should,0.0
tfidf_application,0.0
tfidf_application of,0.0
tfidf_applications,0.0
tfidf_applications and,0.0
tfidf_applications for,0.0
tfidf_applications in,0.0
tfidf_applied,0.0
tfidf_apply,0.0
tfidf_applying,0.0
tfidf_approach,0.0
tfidf_approach and,0.0
tfidf_approach in,0.0
tfidf_approach to,0.0
tfidf_approaches,0.0
tfidf_approaches and,0.0
tfidf_approaches for,0.0
tfidf_approaches to,0.0
tfidf_appropriate,0.0
tfidf_appropriate resources,0.0
tfidf_appropriately,0.0
tfidf_appropriately nonetheless,0.0
tfidf_aquaculture,0.0
tfidf_architecture,0.0
tfidf_architectures,0.0
tfidf_are,0.0
tfidf_are also,0.0
tfidf_are encouraged,0.0
tfidf_are expected,0.0
tfidf_are in,0.0
tfidf_are needed,0.0
tfidf_are not,0.0
tfidf_are required,0.0
tfidf_are the,0.0
tfidf_are to,0.0
tfidf_area,0.0
tfidf_area of,0.0
tfidf_areas and,0.0
tfidf_areas of,0.0
tfidf_around,0.0
tfidf_arrangements,0.0
tfidf_art,0.0
tfidf_article,0.0
tfidf_artificial,0.0
tfidf_artificial intelligence,0.0
tfidf_as,0.0
tfidf_as an,0.0
tfidf_as appropriate,0.0
tfidf_as defined,0.0
tfidf_as for,0.0
tfidf_as part,0.0
tfidf_as possible,0.0
tfidf_as regards,0.0
tfidf_as the,0.0
tfidf_as to,0.0
tfidf_as well,0.0
tfidf_aspects,0.0
tfidf_aspects of,0.0
tfidf_assembly,0.0
tfidf_assess,0.0
tfidf_assess the,0.0
tfidf_assessed,0.0
tfidf_assessing,0.0
tfidf_assessment,0.0
tfidf_assessment and,0.0
tfidf_assessment of,0.0
tfidf_assessments,0.0
tfidf_assets,0.0
tfidf_assistance,0.0
tfidf_associated,0.0
tfidf_associated countries,0.0
tfidf_associated to,0.0
tfidf_associated with,0.0
tfidf_associations,0.0
tfidf_assurance,0.0
tfidf_at all,0.0
tfidf_at different,0.0
tfidf_at eu,0.0
tfidf_at european,0.0
tfidf_at large,0.0
tfidf_at least,0.0
tfidf_at local,0.0
tfidf_at national,0.0
tfidf_at regional,0.0
tfidf_at supporting,0.0
tfidf_at the,0.0
tfidf_at trl,0.0
tfidf_atc,0.0
tfidf_atm,0.0
tfidf_attention,0.0
tfidf_attention should,0.0
tfidf_attention to,0.0
tfidf_attractiveness,0.0
tfidf_audiovisual,0.0
tfidf_authorities,0.0
tfidf_authorities and,0.0
tfidf_automated,0.0
tfidf_automation,0.0
tfidf_autonomous,0.0
tfidf_autonomy,0.0
tfidf_availability,0.0
tfidf_availability of,0.0
tfidf_available,0.0
tfidf_available to,0.0
tfidf_aviation,0.0
tfidf_avoid,0.0
tfidf_award,0.0
tfidf_awarded,0.0
tfidf_awareness,0.0
tfidf_awareness and,0.0
tfidf_awareness of,0.0
tfidf_awareness raising,0.0
tfidf_background,0.0
tfidf_balance,0.0
tfidf_balanced,0.0
tfidf_barriers,0.0
tfidf_based,0.0
tfidf_based on,0.0
tfidf_based products,0.0
tfidf_based solutions,0.0
tfidf_basic,0.0
tfidf_basin,0.0
tfidf_basis,0.0
tfidf_basis for,0.0
tfidf_basis of,0.0
tfidf_batteries,0.0
tfidf_battery,0.0
tfidf_bbi,0.0
tfidf_be able,0.0
tfidf_be achieved,0.0
tfidf_be addressed,0.0
tfidf_be assessed,0.0
tfidf_be based,0.0
tfidf_be clearly,0.0
tfidf_be considered,0.0
tfidf_be demonstrated,0.0
tfidf_be developed,0.0
tfidf_be done,0.0
tfidf_be established,0.0
tfidf_be funded,0.0
tfidf_be given,0.0
tfidf_be implemented,0.0
tfidf_be in,0.0
tfidf_be included,0.0
tfidf_be integrated,0.0
tfidf_be made,0.0
tfidf_be on,0.0
tfidf_be paid,0.0
tfidf_be provided,0.0
tfidf_be supported,0.0
tfidf_be taken,0.0
tfidf_be the,0.0
tfidf_be used,0.0
tfidf_because,0.0
tfidf_become,0.0
tfidf_been,0.0
tfidf_before,0.0
tfidf_behaviour,0.0
tfidf_behavioural,0.0
tfidf_being,0.0
tfidf_below,0.0
tfidf_beneficial,0.0
tfidf_beneficiaries,0.0
tfidf_benefit,0.0
tfidf_benefit from,0.0
tfidf_benefits,0.0
tfidf_benefits and,0.0
tfidf_benefits of,0.0
tfidf_best,0.0
tfidf_best practice,0.0
tfidf_best practices,0.0
tfidf_better,0.0
tfidf_better understanding,0.0
tfidf_between,0.0
tfidf_between eur,0.0
tfidf_between the,0.0
tfidf_beyond,0.0
tfidf_beyond the,0.0
tfidf_big,0.0
tfidf_big data,0.0
tfidf_bio,0.0
tfidf_bio based,0.0
tfidf_biodiversity,0.0
tfidf_biodiversity and,0.0
tfidf_bioeconomy,0.0
tfidf_biological,0.0
tfidf_biomass,0.0
tfidf_blocks,0.0
tfidf_blue economy,0.0
tfidf_board,0.0
tfidf_bodies,0.0
tfidf_boost,0.0
tfidf_boosting,0.0
tfidf_border,0.0
tfidf_borders,0.0
tfidf_both,0.0
tfidf_both in,0.0
tfidf_both the,0.0
tfidf_brain,0.0
tfidf_breakthrough,0.0
tfidf_breeding,0.0
tfidf_bring,0.0
tfidf_bring together,0.0
tfidf_bringing,0.0
tfidf_broad,0.0
tfidf_broader,0.0
tfidf_budget,0.0
tfidf_build,0.0
