publish_year,source_system,count
2008.0,grants_gov,1
2009.0,grants_gov,4
2010.0,grants_gov,1
2011.0,eu_ftop,21
2011.0,grants_gov,4
2012.0,eu_ftop,133
2012.0,grants_gov,1
2013.0,eu_ftop,407
2013.0,grants_gov,1
2014.0,eu_ftop,373
2014.0,grants_gov,1
2015.0,eu_ftop,428
2015.0,grants_gov,5
2016.0,eu_ftop,686
2016.0,grants_gov,7
2017.0,eu_ftop,472
2017.0,grants_gov,3
2018.0,eu_ftop,436
2018.0,grants_gov,13
2019.0,eu_ftop,523
2019.0,grants_gov,14
2020.0,eu_ftop,314
2020.0,grants_gov,30
2021.0,eu_ftop,631
2021.0,grants_gov,37
2022.0,eu_ftop,781
2022.0,grants_gov,56
2023.0,eu_ftop,583
2023.0,grants_gov,142
2024.0,eu_ftop,227
2024.0,grants_gov,403
2025.0,eu_ftop,233
2025.0,grants_gov,532
2026.0,eu_ftop,94
2026.0,grants_gov,453
2027.0,eu_ftop,39
,eu_ftop,2
